資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20200807,0061,14,4,3531000,1.87
20200807,0061,15,11,34914000,18.55
20200807,0061,16,0,0,0.00
20200807,0061,17,11179,188116000,100.00
20200807,006201,1,85,16573,0.09
20200807,006201,2,937,2061597,12.16
20200807,006201,3,167,1439553,8.49
20200807,006201,4,36,474285,2.79
20200807,006201,5,34,640000,3.77
20200807,006201,6,24,653000,3.85
20200807,006201,7,8,276000,1.62
20200807,006201,8,5,230000,1.35
20200807,006201,9,6,348000,2.05
20200807,006201,10,5,671000,3.95
20200807,006201,11,4,1082992,6.39
20200807,006201,12,1,481000,2.83
20200807,006201,13,1,738000,4.35
20200807,006201,14,0,0,0.00
20200807,006201,15,2,7834000,46.22
20200807,006201,16,0,0,0.00
20200807,006201,17,1315,16946000,100.00
20200807,006203,1,80,8758,0.08
20200807,006203,2,207,318242,2.96
20200807,006203,3,11,95000,0.88
20200807,006203,4,0,0,0.00
20200807,006203,5,4,76000,0.70
20200807,006203,6,2,43000,0.40
20200807,006203,7,2,68000,0.63
20200807,006203,8,0,0,0.00
20200807,006203,9,0,0,0.00
20200807,006203,10,1,195000,1.81
20200807,006203,11,2,511000,4.76
20200807,006203,12,2,903000,8.42
20200807,006203,13,0,0,0.00
20200807,006203,14,0,0,0.00
20200807,006203,15,2,8500000,79.30
20200807,006203,16,0,0,0.00
20200807,006203,17,313,10718000,100.00
20200807,006204,1,233,20485,1.36
20200807,006204,2,140,236976,15.79
20200807,006204,3,12,94621,6.30
20200807,006204,4,1,12000,0.80
20200807,006204,5,1,20000,1.33
20200807,006204,6,2,52000,3.46
20200807,006204,7,0,0,0.00
20200807,006204,8,0,0,0.00
20200807,006204,9,3,235000,15.66
20200807,006204,10,1,140000,9.33
20200807,006204,11,0,0,0.00
20200807,006204,12,0,0,0.00
20200807,006204,13,1,688918,45.92
20200807,006204,14,0,0,0.00
20200807,006204,15,0,0,0.00
20200807,006204,16,0,0,0.00
20200807,006204,17,394,1500000,100.00
20200807,006205,1,5864,2277032,1.08
20200807,006205,2,7774,17651391,8.40
20200807,006205,3,1529,11870925,5.65
20200807,006205,4,507,6557699,3.12
20200807,006205,5,369,6880709,3.27
20200807,006205,6,313,8090059,3.85
20200807,006205,7,131,4716903,2.24
20200807,006205,8,105,4922591,2.34
20200807,006205,9,201,14394471,6.85
20200807,006205,10,74,10425996,4.96
20200807,006205,11,31,8811259,4.19
20200807,006205,12,14,6844000,3.26
20200807,006205,13,7,5234000,2.49
20200807,006205,14,6,5405717,2.57
20200807,006205,15,15,95813248,45.64
20200807,006205,16,0,0,0.00
20200807,006205,17,16940,209896000,100.00
20200807,006206,1,1255,449472,0.57
20200807,006206,2,3010,6797169,8.62
20200807,006206,3,577,4725954,5.99
20200807,006206,4,171,2237686,2.84
20200807,006206,5,163,3082119,3.91
20200807,006206,6,114,2990355,3.79
20200807,006206,7,67,2451065,3.11
20200807,006206,8,35,1672616,2.12
20200807,006206,9,78,5642399,7.16
20200807,006206,10,20,2762706,3.50
20200807,006206,11,12,3071374,3.89
20200807,006206,12,2,1027000,1.30
20200807,006206,13,2,1275561,1.61
20200807,006206,14,0,0,0.00
20200807,006206,15,5,40592524,51.52
20200807,006206,16,0,0,0.00
20200807,006206,17,5511,78778000,100.00
20200807,006207,1,126,30277,0.05
20200807,006207,2,1729,4051915,6.93
20200807,006207,3,380,3130595,5.36
20200807,006207,4,153,1959284,3.35
20200807,006207,5,115,2155000,3.69
20200807,006207,6,129,3360498,5.75
20200807,006207,7,63,2269000,3.88
20200807,006207,8,44,2070314,3.54
20200807,006207,9,98,7109429,12.17
20200807,006207,10,52,7682000,13.15
20200807,006207,11,23,7111000,12.17
20200807,006207,12,3,1588000,2.71
20200807,006207,13,4,2773000,4.74
20200807,006207,14,0,0,0.00
20200807,006207,15,6,13101688,22.43
20200807,006207,16,0,0,0.00
20200807,006207,17,2925,58392000,100.00
20200807,006208,1,14266,4563907,6.20
20200807,006208,2,12928,23759560,32.30
20200807,006208,3,1029,7730753,10.51
20200807,006208,4,240,3012993,4.09
20200807,006208,5,119,2162242,2.94
20200807,006208,6,96,2397222,3.25
20200807,006208,7,26,936223,1.27
20200807,006208,8,18,821429,1.11
20200807,006208,9,18,1255295,1.70
20200807,006208,10,11,1448476,1.96
20200807,006208,11,3,1085000,1.47
20200807,006208,12,1,516900,0.70
20200807,006208,13,2,1405000,1.91
20200807,006208,14,0,0,0.00
20200807,006208,15,2,22445000,30.52
20200807,006208,16,0,0,0.00
20200807,006208,17,28759,73540000,100.00
20200807,00625K,1,0,0,0.00
20200807,00625K,2,6,15000,3.98
20200807,00625K,3,1,10000,2.65
20200807,00625K,4,1,12000,3.19
20200807,00625K,5,3,53000,14.09
20200807,00625K,6,2,47000,12.50
20200807,00625K,7,1,40000,10.63
20200807,00625K,8,0,0,0.00
20200807,00625K,9,3,199000,52.92
20200807,00625K,10,0,0,0.00
20200807,00625K,11,0,0,0.00
20200807,00625K,12,0,0,0.00
20200807,00625K,13,0,0,0.00
20200807,00625K,14,0,0,0.00
20200807,00625K,15,0,0,0.00
20200807,00625K,16,0,0,0.00
20200807,00625K,17,17,376000,100.00
20200807,00631L,1,57,5686,0.02
20200807,00631L,2,817,1609540,5.94
20200807,00631L,3,146,1196000,4.41
20200807,00631L,4,49,644000,2.37
20200807,00631L,5,45,851325,3.14
20200807,00631L,6,41,1063233,3.92
20200807,00631L,7,26,949000,3.50
20200807,00631L,8,15,703000,2.59
20200807,00631L,9,29,2051000,7.57
20200807,00631L,10,18,2520000,9.30
20200807,00631L,11,9,2471216,9.12
20200807,00631L,12,5,2407000,8.88
20200807,00631L,13,1,760000,2.80
20200807,00631L,14,1,832000,3.07
20200807,00631L,15,4,9021000,33.30
20200807,00631L,16,0,0,0.00
20200807,00631L,17,1263,27084000,100.00
20200807,00632R,1,134,26705,0.00
20200807,00632R,2,19564,55917563,0.52
20200807,00632R,3,11206,95471723,0.90
20200807,00632R,4,5053,67215347,0.63
20200807,00632R,5,5558,105365570,0.99
20200807,00632R,6,5716,151889559,1.43
20200807,00632R,7,3727,137162266,1.29
20200807,00632R,8,3119,147544980,1.39
20200807,00632R,9,7238,543725781,5.13
20200807,00632R,10,4392,645126667,6.08
20200807,00632R,11,2427,698066939,6.58
20200807,00632R,12,780,387867000,3.66
20200807,00632R,13,339,237551000,2.24
20200807,00632R,14,201,185615000,1.75
20200807,00632R,15,471,7136602900,67.35
20200807,00632R,16,0,0,0.00
20200807,00632R,17,69925,10595149000,100.00
20200807,00633L,1,79,10854,0.00
20200807,00633L,2,2903,6848912,3.03
20200807,00633L,3,893,7486059,3.31
20200807,00633L,4,342,4515000,1.99
20200807,00633L,5,314,5882300,2.60
20200807,00633L,6,333,8604000,3.80
20200807,00633L,7,174,6349000,2.80
20200807,00633L,8,130,6084722,2.69
20200807,00633L,9,299,22411652,9.91
20200807,00633L,10,148,21470000,9.50
20200807,00633L,11,75,21407000,9.47
20200807,00633L,12,24,11654232,5.15
20200807,00633L,13,18,12953000,5.73
20200807,00633L,14,8,7390000,3.27
20200807,00633L,15,26,82891269,36.68
20200807,00633L,16,0,0,0.00
20200807,00633L,17,5766,225958000,100.00
20200807,00634R,1,26,3208,0.00
20200807,00634R,2,957,2540056,1.73
20200807,00634R,3,412,3513997,2.39
20200807,00634R,4,155,2074000,1.41
20200807,00634R,5,199,3757000,2.56
20200807,00634R,6,192,5160000,3.51
20200807,00634R,7,94,3451000,2.35
20200807,00634R,8,91,4287000,2.92
20200807,00634R,9,195,14743000,10.04
20200807,00634R,10,94,13753000,9.37
20200807,00634R,11,49,14198000,9.67
20200807,00634R,12,20,10110739,6.88
20200807,00634R,13,9,6311000,4.30
20200807,00634R,14,7,6532000,4.45
20200807,00634R,15,25,56322000,38.37
20200807,00634R,16,0,0,0.00
20200807,00634R,17,2525,146756000,100.00
20200807,00635U,1,319,79362,0.11
20200807,00635U,2,4002,8532123,12.01
20200807,00635U,3,751,6227009,8.76
20200807,00635U,4,245,3237278,4.55
20200807,00635U,5,198,3704255,5.21
20200807,00635U,6,150,3967200,5.58
20200807,00635U,7,64,2350000,3.30
20200807,00635U,8,58,2740000,3.85
20200807,00635U,9,100,7193003,10.12
20200807,00635U,10,44,6280000,8.84
20200807,00635U,11,23,6553000,9.22
20200807,00635U,12,2,1050000,1.47
20200807,00635U,13,2,1470000,2.07
20200807,00635U,14,0,0,0.00
20200807,00635U,15,9,17630770,24.82
20200807,00635U,16,0,0,0.00
20200807,00635U,17,5967,71014000,100.00
20200807,00636,1,1408,500485,0.25
20200807,00636,2,6651,15924940,8.05
20200807,00636,3,1581,13237714,6.69
20200807,00636,4,531,6985912,3.53
20200807,00636,5,403,7641846,3.86
20200807,00636,6,354,9292650,4.70
20200807,00636,7,173,6364043,3.22
20200807,00636,8,141,6706717,3.39
20200807,00636,9,206,15564596,7.87
20200807,00636,10,86,12308832,6.22
20200807,00636,11,46,13190913,6.67
20200807,00636,12,12,6234732,3.15
20200807,00636,13,5,3457594,1.74
20200807,00636,14,4,3605000,1.82
20200807,00636,15,15,76618026,38.76
20200807,00636,16,0,0,0.00
20200807,00636,17,11616,197634000,100.00
20200807,00636K,1,10,3200,3.94
20200807,00636K,2,6,10900,13.42
20200807,00636K,3,1,6000,7.38
20200807,00636K,4,0,0,0.00
20200807,00636K,5,1,18600,22.90
20200807,00636K,6,0,0,0.00
20200807,00636K,7,0,0,0.00
20200807,00636K,8,1,42500,52.33
20200807,00636K,9,0,0,0.00
20200807,00636K,10,0,0,0.00
20200807,00636K,11,0,0,0.00
20200807,00636K,12,0,0,0.00
20200807,00636K,13,0,0,0.00
20200807,00636K,14,0,0,0.00
20200807,00636K,15,0,0,0.00
20200807,00636K,16,0,0,0.00
20200807,00636K,17,19,81200,100.00
20200807,00637L,1,133,22297,0.00
20200807,00637L,2,6745,17999185,1.94
20200807,00637L,3,2606,21931704,2.37
20200807,00637L,4,1052,14020607,1.51
20200807,00637L,5,1028,19547681,2.11
20200807,00637L,6,1005,26643426,2.88
20200807,00637L,7,615,22602793,2.44
20200807,00637L,8,463,21956732,2.37
20200807,00637L,9,958,72047990,7.80
20200807,00637L,10,553,81895001,8.86
20200807,00637L,11,310,88925176,9.62
20200807,00637L,12,128,63795000,6.90
20200807,00637L,13,51,35866000,3.88
20200807,00637L,14,26,24215000,2.62
20200807,00637L,15,99,412137408,44.62
20200807,00637L,16,0,0,0.00
20200807,00637L,17,15772,923606000,100.00
20200807,00638R,1,11,2780,0.00
20200807,00638R,2,774,2110002,3.01
20200807,00638R,3,329,2806218,4.01
20200807,00638R,4,127,1717000,2.45
20200807,00638R,5,155,2953000,4.22
20200807,00638R,6,104,2766000,3.95
20200807,00638R,7,67,2430000,3.47
20200807,00638R,8,60,2831000,4.04
20200807,00638R,9,105,7994000,11.42
20200807,00638R,10,65,9357000,13.37
20200807,00638R,11,32,9245000,13.21
20200807,00638R,12,14,6708000,9.58
20200807,00638R,13,5,3610000,5.16
20200807,00638R,14,1,810000,1.15
20200807,00638R,15,4,14608000,20.88
20200807,00638R,16,0,0,0.00
20200807,00638R,17,1853,69948000,100.00
20200807,00639,1,1713,739181,0.60
20200807,00639,2,3552,8660096,7.04
20200807,00639,3,1121,9390679,7.64
20200807,00639,4,364,4669352,3.79
20200807,00639,5,398,7552240,6.14
20200807,00639,6,280,7381184,6.00
20200807,00639,7,146,5358882,4.36
20200807,00639,8,104,4930007,4.01
20200807,00639,9,184,14127344,11.49
20200807,00639,10,99,14431573,11.74
20200807,00639,11,26,7093068,5.77
20200807,00639,12,8,4071394,3.31
20200807,00639,13,4,2716000,2.20
20200807,00639,14,3,2726000,2.21
20200807,00639,15,13,29056000,23.64
20200807,00639,16,0,0,0.00
20200807,00639,17,8015,122903000,100.00
20200807,00640L,1,14,1242,0.00
20200807,00640L,2,426,1028208,5.43
20200807,00640L,3,132,1073550,5.67
20200807,00640L,4,38,514000,2.71
20200807,00640L,5,38,711000,3.75
20200807,00640L,6,28,739000,3.90
20200807,00640L,7,22,776000,4.10
20200807,00640L,8,12,569000,3.00
20200807,00640L,9,29,2231000,11.79
20200807,00640L,10,16,2143000,11.32
20200807,00640L,11,5,1438000,7.60
20200807,00640L,12,3,1353000,7.15
20200807,00640L,13,2,1441000,7.61
20200807,00640L,14,0,0,0.00
20200807,00640L,15,2,4901000,25.90
20200807,00640L,16,0,0,0.00
20200807,00640L,17,767,18919000,100.00
20200807,00641R,1,12,630,0.00
20200807,00641R,2,566,1471689,4.78
20200807,00641R,3,214,1777000,5.77
20200807,00641R,4,83,1084000,3.52
20200807,00641R,5,70,1332000,4.33
20200807,00641R,6,71,1900000,6.17
20200807,00641R,7,42,1549000,5.03
20200807,00641R,8,30,1388000,4.51
20200807,00641R,9,53,3947000,12.83
20200807,00641R,10,25,2993000,9.73
20200807,00641R,11,10,2763000,8.98
20200807,00641R,12,1,551000,1.79
20200807,00641R,13,0,0,0.00
20200807,00641R,14,0,0,0.00
20200807,00641R,15,4,10001681,32.51
20200807,00641R,16,0,0,0.00
20200807,00641R,17,1181,30758000,100.00
20200807,00642U,1,426,115455,0.00
20200807,00642U,2,42404,114403602,5.44
20200807,00642U,3,17556,145942122,6.95
20200807,00642U,4,7119,93988442,4.47
20200807,00642U,5,6117,114291803,5.44
20200807,00642U,6,6025,158562438,7.55
20200807,00642U,7,3129,113560227,5.40
20200807,00642U,8,2302,107990900,5.14
20200807,00642U,9,4474,324559617,15.45
20200807,00642U,10,1924,271966871,12.95
20200807,00642U,11,787,219769100,10.46
20200807,00642U,12,219,108361000,5.16
20200807,00642U,13,76,52613000,2.50
20200807,00642U,14,50,45719000,2.17
20200807,00642U,15,103,227977423,10.85
20200807,00642U,16,0,0,0.00
20200807,00642U,17,92711,2099821000,100.00
20200807,00643,1,455,164620,0.14
20200807,00643,2,3301,9132627,7.90
20200807,00643,3,1086,9474025,8.19
20200807,00643,4,367,5043042,4.36
20200807,00643,5,299,5756640,4.98
20200807,00643,6,316,8378220,7.24
20200807,00643,7,123,4500000,3.89
20200807,00643,8,156,7581799,6.55
20200807,00643,9,210,15830254,13.69
20200807,00643,10,86,12392773,10.72
20200807,00643,11,30,8363000,7.23
20200807,00643,12,11,5520000,4.77
20200807,00643,13,9,6157000,5.32
20200807,00643,14,4,3721000,3.21
20200807,00643,15,7,13564000,11.73
20200807,00643,16,0,0,0.00
20200807,00643,17,6460,115579000,100.00
20200807,00643K,1,0,0,0.00
20200807,00643K,2,3,6000,4.95
20200807,00643K,3,0,0,0.00
20200807,00643K,4,0,0,0.00
20200807,00643K,5,0,0,0.00
20200807,00643K,6,1,21000,17.35
20200807,00643K,7,0,0,0.00
20200807,00643K,8,0,0,0.00
20200807,00643K,9,1,94000,77.68
20200807,00643K,10,0,0,0.00
20200807,00643K,11,0,0,0.00
20200807,00643K,12,0,0,0.00
20200807,00643K,13,0,0,0.00
20200807,00643K,14,0,0,0.00
20200807,00643K,15,0,0,0.00
20200807,00643K,16,0,0,0.00
