證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"2739","寒舍","36,568","993,129","27.10","27.45","27.00","27.15","+0.10","33"
"2748","雲品","36,000","1,647,400","45.55","46.05","45.55","45.90","-0.05","30"
"2801","彰銀","2,950,147","54,313,986","18.45","18.45","18.35","18.40","-0.15","1,128"
"2809","京城銀","1,419,141","52,009,512","36.95","37.00","36.45","36.85","-0.05","639"
"2812","台中銀","6,100,539","73,128,218","12.00","12.00","11.95","11.95","-0.05","1,232"
"2816","旺旺保","114,446","2,073,170","18.00","18.20","18.00","18.20","+0.25","52"
"2820","華票","862,616","12,761,558","14.85","14.85","14.75","14.80","-0.05","390"
"2823","中壽","8,914,937","184,253,606","20.55","20.75","20.50","20.70","+0.20","2,435"
"2832","台產","67,002","1,324,088","19.85","19.85","19.70","19.80","-0.05","31"
"2834","臺企銀","9,010,044","90,905,146","10.10","10.15","10.05","10.15","+0.05","1,805"
"2836","高雄銀","620,685","6,210,080","10.00","10.05","9.97","10.05"," 0.00","159"
"2838","聯邦銀","1,733,011","18,164,962","10.40","10.60","10.35","10.55","+0.10","536"
"2838A","聯邦銀甲特","66,000","3,478,600","52.80","52.80","52.70","52.80"," 0.00","21"
"2841","台開","5,866,631","45,889,567","7.66","7.93","7.65","7.81","+0.12","1,397"
"2845","遠東銀","2,035,503","22,967,817","11.30","11.30","11.25","11.30"," 0.00","586"
"2849","安泰銀","189,100","2,583,325","13.70","13.80","13.60","13.75"," 0.00","74"
"2850","新產","102,000","3,513,600","34.45","34.50","34.30","34.45"," 0.00","58"
"2851","中再保","443,278","8,608,401","19.40","19.50","19.30","19.50","+0.15","201"
"2852","第一保","158,001","2,039,462","12.95","12.95","12.85","12.95","-0.05","40"
"2855","統一證","3,205,134","49,656,229","15.40","15.65","15.30","15.60","+0.15","818"
"2867","三商壽","2,010,833","19,261,768","9.61","9.62","9.54","9.60","-0.05","468"
"2880","華南金","14,400,729","271,334,951","18.95","19.00","18.80","18.80","-0.15","5,895"
"2881","富邦金","11,494,689","480,370,988","41.60","42.00","41.60","41.85","-0.15","2,893"
"2881A","富邦特","339,208","21,505,784","63.40","63.50","63.30","63.40","-0.10","46"
"2881B","富邦金乙特","13,542","857,353","63.20","63.40","63.20","63.40"," 0.00","13"
"2882","國泰金","7,782,293","313,871,930","40.45","40.50","40.10","40.30","-0.40","2,531"
"2882A","國泰特","8,000","504,900","63.10","63.20","63.10","63.10","-0.10","8"
"2882B","國泰金乙特","8,331","528,984","63.20","63.70","63.20","63.70"," 0.00","13"
"2883","開發金","12,602,679","108,961,261","8.64","8.67","8.62","8.66","-0.02","2,796"
"2884","玉山金","13,286,141","357,398,676","27.00","27.05","26.85","26.95","-0.05","4,789"
"2885","元大金","32,531,743","621,285,063","19.05","19.15","19.00","19.10"," 0.00","6,379"
"2886","兆豐金","34,089,922","1,025,057,963","30.30","30.30","30.00","30.05","-0.35","15,665"
"2887","台新金","10,763,823","141,293,364","13.10","13.20","13.05","13.15","-0.05","2,826"
"2887E","台新戊特","12,504","672,961","54.00","54.00","53.80","53.80","+0.20","14"
"2887F","台新戊特二","1,260","66,046","52.50","52.50","52.50","52.50","X0.00","3"
"2888","新光金","20,991,978","176,639,564","8.43","8.44","8.39","8.41","-0.02","2,856"
"2888A","新光金甲特","55,695","2,502,553","45.00","45.00","44.90","44.90","-0.05","42"
"2889","國票金","1,958,352","22,994,329","11.75","11.80","11.70","11.75"," 0.00","629"
"2890","永豐金","12,989,862","142,287,732","10.95","11.00","10.90","11.00"," 0.00","1,751"
"2891","中信金","21,702,997","420,792,403","19.40","19.45","19.35","19.35","-0.15","6,278"
"2891B","中信金乙特","2,421","158,088","65.30","65.30","65.30","65.30","-0.10","10"
"2891C","中信金丙特","20,461","1,297,767","63.20","63.50","63.10","63.50"," 0.00","37"
"2892","第一金","24,347,578","528,163,260","21.75","21.80","21.65","21.65","-0.20","8,745"
"2897","王道銀行","887,210","5,980,147","6.75","6.78","6.70","6.76"," 0.00","266"
"2897A","王道銀甲特","36,000","363,500","10.10","10.10","10.05","10.10"," 0.00","15"
"2901","欣欣","88,869","2,128,274","23.75","24.20","23.70","24.20","+0.45","54"
"2903","遠百","1,904,762","48,106,455","25.05","25.55","24.75","25.10","-0.05","749"
"2904","匯僑","89,560","2,141,019","24.00","24.00","23.85","23.85","-0.15","64"
"2905","三商","873,614","21,093,890","24.10","24.40","23.95","24.30","+0.20","507"
"2906","高林","259,700","3,527,653","13.65","13.75","13.50","13.75","+0.10","107"
"2908","特力","171,541","3,763,568","22.00","22.00","21.85","22.00","+0.20","85"
"2910","統領","24,000","745,300","31.20","31.55","30.65","31.50","-0.15","21"
"2911","麗嬰房","204,862","1,236,990","6.01","6.08","6.00","6.07","+0.05","93"
"2912","統一超","721,605","199,921,690","276.50","279.00","276.00","276.00","-2.50","667"
"2913","農林","1,593,678","26,938,177","17.00","17.05","16.65","16.90","-0.10","308"
"2915","潤泰全","4,599,910","299,464,666","64.50","65.80","64.00","65.50","-1.70","2,116"
"2923","鼎固-KY","49,232","1,221,276","24.50","24.95","24.50","24.90","+0.25","38"
"2929","淘帝-KY","1,395,487","53,582,095","38.95","39.30","37.90","38.30","-1.50","1,002"
"2936","客思達-KY","102,005","2,045,401","20.10","20.35","19.50","20.10","-0.15","59"
"2939","凱羿-KY","457,000","50,860,000","114.00","114.50","109.50","109.50","-4.50","257"
"3002","歐格","268,050","3,076,920","11.55","11.55","11.40","11.50","-0.05","86"
"3003","健和興","372,250","14,870,700","39.80","40.25","39.45","39.95","+0.20","238"
"3004","豐達科","49,057","2,606,048","53.30","53.40","52.70","53.40","+0.10","37"
"3005","神基","4,581,064","202,927,916","44.50","45.00","43.90","44.00","+0.70","2,370"
"3006","晶豪科","2,242,502","86,464,046","38.75","38.80","38.10","38.75","-0.30","1,199"
"3008","大立光","223,904","862,128,350","3,850.00","3,875.00","3,810.00","3,855.00","+5.00","794"
"3010","華立","1,924,588","115,434,433","59.40","60.40","59.10","60.10","+0.80","907"
"3011","今皓","270,002","1,517,440","5.68","5.68","5.57","5.64","+0.03","63"
"3013","晟銘電","199,285","2,549,498","12.70","12.90","12.70","12.90","+0.25","81"
